x;y;vx;vy;vz;pitch;roll;yaw
1077.45;-310.49;309.61;-312.64;0.0;64764.0;68.0;57778.0
1169.52;-405.18;187.14;-398.22;0.0;64764.0;65288.0;58724.0
1249.23;-493.66;366.66;-243.23;0.0;65021.0;65.0;59844.0
1358.02;-500.71;433.35;-76.23;0.0;65021.0;65288.0;59730.0
1473.0;-535.78;439.39;23.16;0.0;65021.0;241.0;59502.0
1594.32;-531.06;408.56;-163.32;0.0;65021.0;65288.0;58276.0
1692.71;-604.96;329.24;-291.89;0.0;65021.0;65492.0;57674.0
1780.31;-690.48;304.7;-317.42;0.0;65021.0;65509.0;56896.0
1861.27;-781.69;286.08;-334.3;0.0;65021.0;0.0;56434.0
1934.13;-869.9;282.76;-349.37;265.8;65021.0;65517.0;55912.0
2011.61;-967.47;276.33;-354.5;2.46;65021.0;65515.0;55688.0
2088.73;-1067.84;271.72;-358.06;-265.06;65021.0;65522.0;55688.0
2161.56;-1166.13;258.51;-356.06;0.0;65021.0;0.0;55688.0
2232.92;-1253.85;311.08;-311.17;0.0;64764.0;113.0;58172.0
2339.21;-1306.14;432.88;78.82;0.0;64507.0;259.0;62774.0
2458.99;-1296.18;429.96;-93.47;0.0;64507.0;65411.0;62528.0
2564.84;-1333.02;400.55;-182.1;0.0;64507.0;65463.0;60580.0
2685.12;-1348.51;438.74;33.23;0.0;64507.0;65506.0;57752.0
2789.46;-1402.85;373.55;-232.51;0.0;64507.0;247.0;55496.0
2888.64;-1468.52;227.14;-376.84;0.0;64507.0;65288.0;53004.0
2929.16;-1582.96;76.73;-433.26;0.0;64507.0;65369.0;49774.0
2986.26;-1691.15;159.54;-410.06;0.0;64764.0;65288.0;48034.0
2986.04;-1812.97;-42.79;-437.92;0.0;64507.0;0.0;47996.0
3002.96;-1931.63;109.28;-426.21;0.0;64250.0;65400.0;44754.0
2971.32;-2038.28;-124.75;-421.94;0.0;64250.0;247.0;43360.0
2959.26;-2155.92;-207.24;-388.14;0.0;64250.0;65288.0;41484.0
2895.82;-2261.2;-135.48;-418.63;0.0;64250.0;41.0;37806.0
2792.47;-2328.13;-412.34;-153.54;0.0;64250.0;65451.0;35960.0
2699.11;-2384.29;-370.36;-237.56;0.0;64250.0;65265.0;33132.0
2577.34;-2402.11;-439.64;-17.74;0.0;64250.0;0.0;33062.0
