x;y;vx;vy;pitch;roll;yaw;;;x;y;vx;vy;pitch;roll;yaw
2128,18;-1008,96;-8,62;439,92;64764;0;16600;;;;;;;;;
2125,68;-886,54;-9,11;439,91;64764;0;16600;;;;;;;;;
2123,31;-772,34;-9,11;439,91;64764;0;16600;;;;;;;;;
2120,76;-648,94;-9,11;439,91;64764;0;16600;;;;;;;;;
2118,19;-525,07;-9,11;439,91;64764;0;16600;;;;;;;;;
2115,66;-402,64;-9,11;439,91;64764;0;16600;;;;;;;;;
2113,4;-281,66;-5,37;439,97;64764;0;16448;;;;;;;;;
2113,09;-168,89;1,7;440;64764;0;16296;;;;;;;;;
2115,8;-45,51;13,63;439,79;64507;0;16048;;;;;;;;;
2119,72;77,37;14,15;439,77;64507;0;16048;;;;;;;;;
2123,65;199,27;14,16;439,77;64507;0;16048;;;;;;;;;
2124,02;322,64;-27,39;439,15;63993;112;17920;;;;;;;;;
2099,8;423,85;-199,58;365,62;63993;32;23114;;;;;;;;;
2003,17;498,49;-398,45;178,45;63993;17;46558;;;;;;;;;
1963,47;406,73;-7,45;-439,94;64250;117;49638;;;;;;;;;
1968,55;283,43;22,7;-439,41;64250;0;49490;;;;;;;;;
1967,63;161,06;-26,76;-439,19;64507;65508;48358;;;;;;;;;
1958,57;37;-33,37;-438,73;64507;0;48358;;;;;;;;;
1948,83;-84,09;-36,54;-438,48;64507;0;48282;;;;;;;;;
1939,5;-195,51;-36,73;-438,46;64507;0;48282;;;;;;;;;
1889,31;-304,11;-122,4;-422,63;64507;270;48396;;;;;;;;;
1878,15;-424,82;-7,03;-439,94;64507;42;49290;;;;;;;;;
1879,07;-546,3;6,77;-439,95;64507;0;49328;;;;;;;;;
1910,55;-664,87;35,17;-438,59;64507;65430;49366;;;;;;;;;
1914,09;-788,23;6,51;-439,95;64764;0;49290;;;;;;;;;
1915,58;-899,05;5,77;-439,96;64764;0;49290;;;;;;;;;
1917,2;-1022,46;5,74;-439,96;64764;0;49290;;;;;;;;;
1918,78;-1143,94;5,74;-439,96;64764;0;49290;;;;;;;;;
1920,38;-1266,38;5,75;-439,96;64764;0;49290;;;;;;;;;
1921,99;-1389,79;5,75;-439,96;64764;0;49290;;;;;;;;;
1922,99;-1514,65;-1,65;-440;64764;0;49052;;;;;;;;;
1921,21;-1627,41;-10,67;-439,87;64764;0;48756;;;;;;;;;
1913,42;-1750,08;-34,68;-438,63;64764;0;48310;;;;;;;;;
1903,72;-1872,15;-30,35;-438,95;64507;42;48848;;;;;;;;;
1905,26;-1994,05;20,74;-439,51;64250;0;49730;;;;;;;;;
1911,8;-2116,32;24,21;-439,33;64250;0;49730;;;;;;;;;
1918,68;-2239,06;28,05;-439,1;63993;37;50160;;;;;;;;;
1963,57;-2346,85;353,39;-262,14;63993;247;63620;;;;;;;;;
2069,63;-2316,3;278,25;340,84;63993;259;10994;;;;;;;;;
2119,17;-2204,46;29,72;438,99;63993;270;18026;;;;;;;;;
2107,8;-2083,12;-40,96;438,09;64250;65477;16738;;;;;;;;;
2116,01;-1961,69;56,83;436,31;64250;0;15064;;;;;;;;;
2124,9;-1849,8;17,38;439,66;64507;0;16088;;;;;;;;;
2128,54;-1726,92;11,28;439,86;64507;0;16126;;;;;;;;;
2131,39;-1603,53;9,4;439,9;64764;0;16164;;;;;;;;;
2137,46;-1480,31;40,91;438,09;64250;0;15302;;;;;;;;;
2146,51;-1367,92;23,13;439,39;64250;0;15954;;;;;;;;;
2149,41;-1244,07;-3,44;439,99;64507;41;16698;;;;;;;;;
2145,32;-1121,2;-18,88;439,59;64507;0;16850;;;;;;;;;
2139,89;-998,39;-19,55;439,57;64507;0;16850;;;;;;;;;
2134,21;-876,55;-25,42;439,26;64507;27;17144;;;;;;;;;
2124,94;-753,97;-36,25;438,5;64507;0;17258;;;;;;;;;
2116,92;-632,77;-12,24;439,83;64507;65498;16442;;;;;;;;;
2115,66;-511,3;-2,61;439,99;64507;0;16442;;;;;;;;;
2115,02;-395,62;-2,38;439,99;64507;0;16442;;;;;;;;;
2114,58;-273,17;0,36;440;64507;0;16356;;;;;;;;;
2114,95;-148,78;1,13;440;64507;0;16394;;;;;;;;;
2115,43;-24,88;1,85;440;64507;0;16342;;;;;;;;;
