x;y;vx;vy;pitch;roll;yaw
2136.7;-576.04;2.4;439.99;64764.0;0.0;16338.0
2136.71;-463.75;-1.42;440.0;63993.0;0.0;16464.0
2135.17;-341.79;-6.75;439.95;63993.0;0.0;16550.0
2133.17;-219.84;-8.16;439.92;63993.0;0.0;16588.0
2130.81;-97.9;-8.57;439.92;63993.0;65535.0;16626.0
2123.65;24.45;-13.01;439.81;63993.0;0.0;16626.0
2125.48;147.3;27.16;439.16;63736.0;0.0;15640.0
2133.98;269.94;31.25;438.89;63479.0;0.0;15870.0
2114.64;389.78;-179.18;401.86;63222.0;201.0;22240.0
2034.26;464.49;-425.2;113.15;63222.0;270.0;34768.0
1948.82;394.78;-115.28;-424.63;63222.0;259.0;48906.0
1949.97;270.48;56.59;-436.35;63736.0;57.0;50760.0
1958.63;148.94;0.28;-440.0;64250.0;65486.0;48852.0
1954.59;27.55;-29.64;-439.0;64250.0;0.0;48304.0
1944.82;-96.94;-35.6;-438.56;64250.0;0.0;48304.0
1936.01;-221.01;-20.68;-439.51;64507.0;29.0;48830.0
1932.7;-333.24;-9.52;-439.9;64507.0;0.0;48944.0
1930.18;-457.61;-8.79;-439.91;64764.0;0.0;48906.0
1927.36;-580.51;-10.42;-439.88;64764.0;0.0;48906.0
1924.43;-703.89;-10.45;-439.88;64764.0;0.0;48906.0
1922.78;-827.79;-0.39;-440.0;64764.0;0.0;49248.0
1923.57;-942.01;3.92;-439.98;64764.0;0.0;49248.0
1924.69;-1065.42;4.05;-439.98;64764.0;0.0;49248.0
1925.85;-1190.77;4.05;-439.98;64764.0;0.0;49248.0
1926.98;-1313.7;4.05;-439.98;64764.0;0.0;49248.0
1928.11;-1436.63;4.06;-439.98;64764.0;0.0;49248.0
1929.16;-1549.88;4.05;-439.98;64764.0;0.0;49248.0
1930.3;-1673.78;4.05;-439.98;64764.0;0.0;49248.0
1931.42;-1795.74;4.05;-439.98;64764.0;0.0;49248.0
1932.55;-1918.19;4.06;-439.98;64764.0;0.0;49248.0
1933.69;-2041.61;4.05;-439.98;64764.0;0.0;49248.0
1933.0;-2154.37;-7.17;-439.94;64250.0;0.0;48988.0
1931.91;-2278.26;11.88;-439.84;64250.0;89.0;50374.0
1986.78;-2381.99;356.24;-258.25;63736.0;247.0;62992.0
2086.03;-2338.43;210.69;386.28;63993.0;270.0;13042.0
2112.38;-2221.01;7.89;439.93;64764.0;120.0;16952.0
2109.04;-2098.61;-7.38;439.94;64507.0;0.0;16480.0
2107.78;-1978.58;-2.03;440.0;64507.0;0.0;16312.0
2109.98;-1855.67;11.93;439.84;64507.0;0.0;16082.0
2113.42;-1743.44;14.19;439.77;64507.0;0.0;16044.0
2117.36;-1622.02;14.32;439.77;64507.0;0.0;16044.0
2121.4;-1498.18;14.33;439.77;64507.0;0.0;16044.0
2124.71;-1377.22;9.96;439.89;64507.0;0.0;16158.0
2127.42;-1254.32;9.6;439.89;64507.0;0.0;16158.0
2129.59;-1131.4;2.67;439.99;64764.0;0.0;16436.0
2128.18;-1008.96;-8.62;439.92;64764.0;0.0;16600.0
2125.68;-886.54;-9.11;439.91;64764.0;0.0;16600.0
2123.31;-772.34;-9.11;439.91;64764.0;0.0;16600.0
2120.76;-648.94;-9.11;439.91;64764.0;0.0;16600.0
2118.19;-525.07;-9.11;439.91;64764.0;0.0;16600.0
2115.66;-402.64;-9.11;439.91;64764.0;0.0;16600.0
2113.4;-281.66;-5.37;439.97;64764.0;0.0;16448.0
2113.09;-168.89;1.7;440.0;64764.0;0.0;16296.0
2115.8;-45.51;13.63;439.79;64507.0;0.0;16048.0
2119.72;77.37;14.15;439.77;64507.0;0.0;16048.0
2123.65;199.27;14.16;439.77;64507.0;0.0;16048.0
2124.02;322.64;-27.39;439.15;63993.0;112.0;17920.0
2099.8;423.85;-199.58;365.62;63993.0;32.0;23114.0
2003.17;498.49;-398.45;178.45;63993.0;17.0;46558.0
1963.47;406.73;-7.45;-439.94;64250.0;117.0;49638.0
1968.55;283.43;22.7;-439.41;64250.0;0.0;49490.0
1967.63;161.06;-26.76;-439.19;64507.0;65508.0;48358.0
1958.57;37.0;-33.37;-438.73;64507.0;0.0;48358.0
1948.83;-84.09;-36.54;-438.48;64507.0;0.0;48282.0
1939.5;-195.51;-36.73;-438.46;64507.0;0.0;48282.0
1889.31;-304.11;-122.4;-422.63;64507.0;270.0;48396.0
1878.15;-424.82;-7.03;-439.94;64507.0;42.0;49290.0
1879.07;-546.3;6.77;-439.95;64507.0;0.0;49328.0
1910.55;-664.87;35.17;-438.59;64507.0;65430.0;49366.0
1914.09;-788.23;6.51;-439.95;64764.0;0.0;49290.0
1915.58;-899.05;5.77;-439.96;64764.0;0.0;49290.0
1917.2;-1022.46;5.74;-439.96;64764.0;0.0;49290.0
1918.78;-1143.94;5.74;-439.96;64764.0;0.0;49290.0
1920.38;-1266.38;5.75;-439.96;64764.0;0.0;49290.0
1921.99;-1389.79;5.75;-439.96;64764.0;0.0;49290.0
1922.99;-1514.65;-1.65;-440.0;64764.0;0.0;49052.0
1921.21;-1627.41;-10.67;-439.87;64764.0;0.0;48756.0
1913.42;-1750.08;-34.68;-438.63;64764.0;0.0;48310.0
1903.72;-1872.15;-30.35;-438.95;64507.0;42.0;48848.0
1905.26;-1994.05;20.74;-439.51;64250.0;0.0;49730.0
1911.8;-2116.32;24.21;-439.33;64250.0;0.0;49730.0
1918.68;-2239.06;28.05;-439.1;63993.0;37.0;50160.0
1963.57;-2346.85;353.39;-262.14;63993.0;247.0;63620.0
2069.63;-2316.3;278.25;340.84;63993.0;259.0;10994.0
2119.17;-2204.46;29.72;438.99;63993.0;270.0;18026.0
2107.8;-2083.12;-40.96;438.09;64250.0;65477.0;16738.0
2116.01;-1961.69;56.83;436.31;64250.0;0.0;15064.0
2124.9;-1849.8;17.38;439.66;64507.0;0.0;16088.0
2128.54;-1726.92;11.28;439.86;64507.0;0.0;16126.0
2131.39;-1603.53;9.4;439.9;64764.0;0.0;16164.0
2137.46;-1480.31;40.91;438.09;64250.0;0.0;15302.0
2146.51;-1367.92;23.13;439.39;64250.0;0.0;15954.0
2149.41;-1244.07;-3.44;439.99;64507.0;41.0;16698.0
2145.32;-1121.2;-18.88;439.59;64507.0;0.0;16850.0
2139.89;-998.39;-19.55;439.57;64507.0;0.0;16850.0
2134.21;-876.55;-25.42;439.26;64507.0;27.0;17144.0
2124.94;-753.97;-36.25;438.5;64507.0;0.0;17258.0
2116.92;-632.77;-12.24;439.83;64507.0;65498.0;16442.0
2115.66;-511.3;-2.61;439.99;64507.0;0.0;16442.0
2115.02;-395.62;-2.38;439.99;64507.0;0.0;16442.0
2114.58;-273.17;0.36;440.0;64507.0;0.0;16356.0
2114.95;-148.78;1.13;440.0;64507.0;0.0;16394.0
2115.43;-24.88;1.85;440.0;64507.0;0.0;16342.0
2115.96;99.02;1.86;440.0;64507.0;0.0;16342.0
2116.43;211.31;1.87;440.0;64507.0;0.0;16342.0
2112.5;333.61;-47.74;437.4;64507.0;99.0;18336.0
2056.32;440.86;-338.87;280.66;64507.0;259.0;27828.0
1941.01;454.68;-386.49;-210.31;64764.0;270.0;42536.0
1884.02;347.9;-113.24;-425.18;64764.0;74.0;46928.0
1874.67;237.94;17.67;-439.65;64764.0;98.0;50248.0
1889.52;115.95;63.95;-435.33;64764.0;0.0;50704.0
1906.32;-6.29;37.61;-438.39;64507.0;65431.0;49302.0
1908.24;-129.19;-2.08;-440.0;64507.0;0.0;49072.0
1907.39;-251.15;-3.35;-439.99;64507.0;0.0;49072.0
1906.43;-375.54;-3.38;-439.99;64507.0;0.0;49072.0
1905.51;-496.05;-3.38;-439.99;64507.0;0.0;49072.0
1904.98;-618.98;0.19;-440.0;64764.0;0.0;49186.0
1905.59;-732.24;4.02;-439.98;64764.0;0.0;49262.0
1906.85;-857.59;4.55;-439.98;64764.0;0.0;49262.0
1908.8;-981.48;7.67;-439.93;64764.0;0.0;49338.0
1910.28;-1103.43;3.37;-439.98;64507.0;0.0;49224.0
1911.08;-1216.2;3.05;-439.99;64507.0;0.0;49224.0
1911.92;-1338.17;3.04;-439.99;64507.0;0.0;49224.0
1912.42;-1459.17;-0.13;-440.0;64507.0;0.0;49110.0
1911.38;-1583.07;-4.9;-439.97;64507.0;0.0;49034.0
1910.03;-1696.8;-6.01;-439.96;64507.0;0.0;48958.0
1907.2;-1821.64;-12.03;-439.83;64250.0;0.0;48882.0
1904.39;-1945.03;-9.51;-439.9;63993.0;0.0;48930.0
1901.94;-2059.22;-9.45;-439.9;63993.0;0.0;48930.0
